No.,회계연도,소관명,회계명,단위사업명,연간계획(억원),1월집행금액(억원),2월집행금액(억원),3월집행금액(억원),4월집행금액(억원),5월집행금액(억원),6월집행금액(억원),7월집행금액(억원),8월집행금액(억원),9월집행금액(억원),10월집행금액(억원),11월집행금액(억원),12월집행금액(억원)
"1","2020","해양수산부","교통시설특별회계","그린포트 구축","1,171",106,160,283,392,499,677,682,730,885,889,964,"1,133"
"2","2020","해양수산부","교통시설특별회계","부산항 신항만 개발","1,411",413,572,596,627,681,"1,001","1,002","1,006","1,042","1,054","1,067","1,310"
"3","2020","해양수산부","교통시설특별회계","울산신항 개발","1,356",645,693,691,801,991,"1,100","1,113","1,129","1,139","1,151","1,210","1,352"
"4","2020","해양수산부","교통시설특별회계","인천북항 개발",654,252,260,271,275,286,540,543,543,558,559,559,574
"5","2020","해양수산부","교통시설특별회계","인천신항 개발",890,242,564,564,566,604,794,794,794,863,863,863,980
"6","2020","해양수산부","교통시설특별회계","일반항 건설","4,985","1,106","1,433","1,587","1,725","2,100","2,881","2,967","3,052","3,400","3,468","3,611","4,300"
"7","2020","해양수산부","교통시설특별회계","주요항 건설",724,128,198,227,274,328,445,454,460,506,520,528,616
"8","2020","해양수산부","교통시설특별회계","항로표지시설 확충 및 안전관리",601,16,87,240,261,305,417,430,440,471,484,500,587
"9","2020","해양수산부","교통시설특별회계","항만시설유지보수(교특)","1,793",104,254,300,353,519,912,948,983,"1,157","1,210","1,303","1,611"
"10","2020","해양수산부","농어촌구조개선특별회계","수산자원조성",825,495,539,549,638,641,687,687,740,792,818,819,821
"11","2020","해양수산부","농어촌구조개선특별회계","어항기반시설조성(농특)","6,949","1,405","3,229","3,864","4,007","4,123","4,723","4,752","4,960","5,611","5,762","5,820","6,843"
"12","2020","해양수산부","농어촌구조개선특별회계","연근해어업구조조정",756,220,224,224,224,230,583,583,666,723,723,742,743
"13","2020","해양수산부","농어촌구조개선특별회계","재해대책","1,525",0,610,610,885,963,"1,147","1,334","1,439","1,495","1,523","1,524","1,739"
"14","2020","해양수산부","농어촌구조개선특별회계","친환경양식육성(농특)",843,18,194,563,617,635,692,734,749,742,732,738,784
"15","2020","해양수산부","일반회계","어업안전지도강화",571,11,91,149,186,209,314,333,394,422,487,518,565
"16","2020","해양수산부","일반회계","연구장비개발 및 인프라구축(R&D)",504,162,254,412,421,455,504,504,504,504,504,504,504
"17","2020","해양수산부","일반회계","연안환경관리(일반)",816,163,195,257,273,284,430,436,452,516,608,655,778
"18","2020","해양수산부","일반회계","한국해양과학기술원 운영지원","1,416",800,800,800,800,800,921,"1,071","1,237","1,237","1,409","1,409","1,409"
"19","2020","해양수산부","일반회계","해양문화활성화",626,237,264,306,316,325,453,455,480,483,487,504,603
"20","2020","해양수산부","일반회계","해양안전관리시스템 구축.운영(일반)",707,222,265,374,383,406,466,468,546,557,636,641,696
"21","2020","해양수산부","일반회계","해양지형조사 및 정보제공",878,47,182,379,422,474,619,626,629,646,653,701,836
"22","2020","해양수산부","일반회계","해운물류지원",974,1,21,598,615,641,699,730,743,773,800,821,866
"23","2020","해양수산부","일반회계","해운인력양성 지원",561,187,187,187,206,246,393,450,470,479,561,561,561
