연번,경찰서,관서명,주소
1,서울중부,을지,서울특별시 중구 을지로 234
2,서울중부,광희,서울특별시 중구 퇴계로 375-1
3,서울중부,약수,"서울특별시 중구 동호로 5길 15, 약수지구대"
4,서울중부,신당,"서울특별시 중구 다산로 248 (신당동, 신당파출소)"
5,서울중부,장충,서울특별시 중구 동호로 261
6,서울중부,충무,서울특별시 중구 퇴계로 178
7,서울중부,을지로3가,서울특별시 중구 충무로56-1
8,서울종로,종로2가,서울특별시 종로구 종로17길 4 종로2가파출소
9,서울종로,관수,서울특별시 종로구 삼일대로 386
10,서울종로,세검정,서울특별시 종로구 세검정로 226
11,서울종로,평창,서울특별시 종로구 평창문화로 46
12,서울종로,삼청,서울특별시 종로구 삼청로 66
13,서울종로,통의,서울특별시 종로구 효자로 9
14,서울종로,청운,서울특별시 종로구 자하문로 92-1
15,서울종로,옥인,서울특별시 종로구 자하문로17길 24
16,서울종로,교남,서울특별시 종로구 송월길 167(교북동 10-38)
17,서울종로,세종로,서울특별시 중구 세종대로 141
18,서울종로,신문로,서울특별시 종로구 경희궁길 6-3
19,서울종로,사직,서울특별시 종로구 사직로9길 1
20,서울종로,청진,서울특별시 종로구 삼봉로 33 청진파출소
21,서울남대문,태평로,서울특별시 중구 다동길 11
22,서울남대문,서울역,서울특별시 중구 통일로 13
23,서울남대문,명동,서울특별시 중구 명동길 30 명동파출소
24,서울남대문,남대문,서울특별시 중구 남대문시장4길 28-16
25,서울남대문,중림,서울특별시 중구 중림로 36
26,서울남대문,회현,서울특별시 중구 퇴계로6길 3-10
27,서울남대문,서소문,서울특별시 중구 서소문로 131-1 서소문파출소
28,서울서대문,충정로,서울특별시 서대문구 독립문로 25-1
29,서울서대문,신촌,서울특별시 서대문구 신촌역로 22
30,서울서대문,홍은,서울특별시 서대문구 세검정로1길 112
31,서울서대문,연희,서울특별시 서대문구 연희로25길 73
32,서울서대문,남가좌,서울특별시 서대문구 가재울로4길 51
33,서울서대문,북가좌,서울특별시 서대문구 증가로 244
34,서울서대문,홍제,서울특별시 서대문구 통일로 441-1
35,서울서대문,홍은2,서울특별시 서대문구 연희로 298
36,서울혜화,혜화,서울특별시 종로구 창경궁로 279
37,서울혜화,대학로,서울특별시 종로구 이화장2길 33
38,서울혜화,명륜,서울특별시 종로구 성균관로 78
39,서울혜화,창신,서울특별시 종로구 지봉로13길 20-12
40,서울혜화,동묘,서울특별시 종로구 종로58가길 19 동묘파출소
41,서울혜화,덕산,서울특별시 종로구 창신길 98
42,서울혜화,종로5가,서울특별시 종로구 동호로 407
43,서울혜화,효제,서울특별시 종로구 종로41나길 24-6
44,서울용산,원효,서울특별시 용산구 백범로 329
45,서울용산,용중,"서울특별시 용산구 후암로16나길 17, 용중지구대"
46,서울용산,이태원,서울특별시 용산구 이태원로 184
47,서울용산,한남,"서울특별시 용산구 대사관로34길 53, 한남파출소"
48,서울용산,보광,"서울특별시 용산구 보광로 25-1, 보광파출소"
49,서울용산,삼각지,서울특별시 용산구 한강대로198-2
50,서울용산,한강로,서울특별시 용산구 서빙고로67
51,서울성북,돈암,서울특별시 성북구 아리랑로5길 54
52,서울성북,안암,서울특별시 성북구 지봉로21길 45
53,서울성북,길음,서울특별시 성북구 삼양로13길 51 길음지구대
54,서울성북,정릉,서울특별시 성북구 솔샘로 111
55,서울성북,정릉2,서울특별시 성북구 정릉로26길 6 정릉2파출소
56,서울성북,성북,서울특별시 성북구 성북로 94 성북파출소
57,서울동대문,답십리,서울시 동대문구 사가정로 2길 9
58,서울동대문,용신,서울특별시 동대문구 청계천로549
59,서울동대문,청량리,서울특별시 동대문구 약령시로21길 15
60,서울동대문,제기,서울특별시 동대문구 약령시로 17길 59-11
61,서울동대문,전농1,서울특별시 동대문구 서울시립대로 56
62,서울동대문,전농2,서울특별시 동대문구 전농로38다길 21
63,서울동대문,장안1,서울특별시 동대문구 한천로20길 7
64,서울동대문,장안2,서울특별시 동대문구 답십리로 69길 100
65,서울동대문,이문,서울특별시 동대문구 한천로 402
66,서울동대문,휘경,서울특별시 동대문구 한천로 266
67,서울동대문,회기,서울특별시 동대문구 회기로18길 2
68,서울마포,서강,"서울특별시 마포구 독막로22길 8(창전동, 서강지구대)"
69,서울마포,공덕,서울특별시 마포구 마포대로 195-1
70,서울마포,월드컵,서울특별시 마포구 월드컵북로 30길 24
