"시점",기온,기온
"시점",평균,극점최고
"2018. 01",-4.0,8.7
"2018. 02",-1.6,10.4
"2018. 03",8.1,22.1
"2018. 04",13.0,26.3
"2018. 05",18.2,29.6
"2018. 06",23.1,32.9
"2018. 07",27.8,38.3
"2018. 08",28.8,39.6
"2018. 09",21.5,30.9
"2018. 10",13.1,25.6
"2018. 11",7.8,19.4
"2018. 12",-0.6,13.5
"2019. 01",-0.9,8.5
"2019. 02",1.0,14.5
"2019. 03",7.1,17.6
"2019. 04",12.1,28.2
"2019. 05",19.4,33.4
"2019. 06",22.5,32.8
"2019. 07",25.9,36.1
"2019. 08",27.2,36.8
"2019. 09",22.6,30.5
"2019. 10",16.4,28.2
"2019. 11",7.6,22.1
"2019. 12",1.4,12.9
"2020. 01",1.6,11.9
"2020. 02",2.5,15.6
"2020. 03",7.7,20.6
"2020. 04",11.1,23.8
"2020. 05",18.0,30.0
"2020. 06",23.9,35.4
"2020. 07",24.1,32.9
"2020. 08",26.5,34.5
"2020. 09",21.4,29.5
"2020. 10",14.3,23.6
"2020. 11",8.0,20.0
"2020. 12",-0.3,11.4
"2021. 01",-2.4,13.9
"2021. 02",2.7,17.4
"2021. 03",9.0,22.9
"2021. 04",14.2,28.2
"2021. 05",17.1,30.8
"2021. 06",22.8,31.6
"2021. 07",28.1,36.5
"2021. 08",25.9,33.7
"2021. 09",22.6,30.3
"2021. 10",15.6,28.8
"2021. 11",8.2,21.3
"2021. 12",0.6,13.3
"2022. 01",-2.2,8.4
"2022. 02",-1.1,11.5
"2022. 03",7.7,19.5
"2022. 04",14.8,28.7
"2022. 05",19.1,30.7
"2022. 06",23.3,32.7
"2022. 07",27.3,36.1
"2022. 08",25.7,32.9
"2022. 09",22.4,32.5
"2022. 10",14.6,27.6
"2022. 11",10.0,22.1
"2022. 12",-2.8,10.2
