경찰서 명,년월일,신고수 ,평균기온,최저기온,최저기온시각,최고기온,최고기온시각 ,일강수량,최대순간풍속,최대순간풍속시각,평균풍속,최대순산풍속방향
서울강남경찰서,2021-01-01,200,-3.6,-9,538,2.2,1416,0,6.4,2250,1.1,329.1
서울강동경찰서,2021-01-01,163,-4.4,-10,610,0.9,1429,0,5.5,1622,1,247.5
서울강북경찰서,2021-01-01,130,-3.9,-9.1,554,0.8,1505,0,7.8,2358,1.5,312.2
서울강서경찰서,2021-01-01,292,-3.8,-9.9,517,0.6,1412,0,5.1,1450,1.3,289.7
서울광진경찰서,2021-01-01,178,-3.8,-8.8,507,0.7,1348,0,5.6,1627,1.3,278.4
서울구로경찰서,2021-01-01,195,-3.4,-9.4,447,1.9,1446,0,6.3,1530,1.4,75.9
서울금천경찰서,2021-01-01,129,-3.1,-7.7,509,1,1401,0,4.7,1404,1.2,182.8
서울노원경찰서,2021-01-01,204,-5.8,-13.8,307,1.3,1457,0,5.2,2324,0.9,261.6
서울도봉경찰서,2021-01-01,125,-5.3,-11.7,512,2.8,1446,0,8.4,1534,1,247.5
서울동작경찰서,2021-01-01,129,-3.9,-9.9,524.5,1.7,1373,0,5.7,1966.5,0.9,306.7
서울마포경찰서,2021-01-01,216,-3.8,-8.7,208,1.1,1427,0,7.7,1534,2.1,281.3
서울서대문경찰서,2021-01-01,141,-4.5,-10.3,154,0.7,1311,0,6.4,2355,1.3,323.9
서울서부경찰서,2021-01-01,68,-6.7,-13.9,257,0.5,1414,0,4.1,1434,0.5,261.6
서울서초경찰서,2021-01-01,121,-3.6,-10.2,542,1.4,1428,0,5,1556,1.1,312.2
서울성동경찰서,2021-01-01,101,-2.7,-6.9,523,1.5,1437,0,6.7,2239,1.6,326.3
서울성북경찰서,2021-01-01,77,-5.7,-10.8,530,0.1,1421,0,8.2,1557,1.2,261.6
서울송파경찰서,2021-01-01,227,-2.8,-7.9,550,1,1335,0,5.9,1616,1.5,317.8
서울수서경찰서,2021-01-01,142,-3.6,-9,538,2.2,1416,0,6.4,2250,1.1,329.1
서울영등포경찰서,2021-01-01,225,-2.9,-7.5,347,1.3,1464,0,4.8,1829,1.3,322.1
서울은평경찰서,2021-01-01,113,-3.4,-8.5,602,1.7,1431,0,6.5,1614,1.3,300.9
서울은평경찰서,2021-01-01,113,-6.7,-13.9,257,0.5,1414,0,4.1,1434,0.5,261.6
서울은평경찰서,2021-01-01,113,-4.7,-11.2,488.5,1.2,1341,0,4.9,1342.5,1.2,225
서울종암경찰서,2021-01-01,94,-5.7,-10.8,530,0.1,1421,0,8.2,1557,1.2,261.6
서울중랑경찰서,2021-01-01,216,-3.6,-8.9,802,0.9,1437,0,6.5,1614,1.5,230.6
서울중부경찰서,2021-01-01,73,-5.1,-9.8,34,-0.2,1330,0,7.1,2310,1.9,318.2
서울강남경찰서,2021-01-02,190,-3.8,-6.6,752,-0.3,1425,0,6.9,1544,1.7,334.7
서울강동경찰서,2021-01-02,175,-4.2,-7.3,755,-0.5,1424,0,5.9,1343,1.4,227.8
서울강북경찰서,2021-01-02,140,-4.3,-7.3,752,-1.4,1351,0,10,1323,2.4,315
서울강서경찰서,2021-01-02,260,-4.5,-7.6,816,-1.1,1539,0,6.4,1430,2.3,315
서울광진경찰서,2021-01-02,217,-4.2,-6.6,552,-0.7,1408,0,8.2,1421,2,340.3
서울구로경찰서,2021-01-02,194,-4.2,-7.9,805,0,1506,0,8.2,1350,2.4,118.1
서울금천경찰서,2021-01-02,125,-3.9,-6.3,751,-0.4,1427,0,5.8,1559,1.8,323.4
서울노원경찰서,2021-01-02,209,-5.1,-12.5,704,-1,1237,0,8.2,1711,1.5,272.8
서울도봉경찰서,2021-01-02,130,-5.4,-10.3,801,0,1518,0,8.4,1334,1.5,19.7
서울동작경찰서,2021-01-02,127,-4.3,-8.6,803.5,-0.2,1433.5,0,6.2,1472.5,1.5,268.7
서울마포경찰서,2021-01-02,194,-5,-8,736,-0.8,1440,0,10.2,1415,3.3,300.9
서울서대문경찰서,2021-01-02,134,-5.8,-9.4,733,-1,1414,0,9,1451,1.9,311.7
서울서부경찰서,2021-01-02,73,-8,-13.1,740,-1.7,1544,0,5.8,1413,0.7,298.1
서울서초경찰서,2021-01-02,165,-4,-7.2,830,-1.1,1426,0,6.2,1443,1.9,315
서울성동경찰서,2021-01-02,106,-3.4,-5.7,754,-0.6,1357,0,10,1439,2.5,348.8
서울성북경찰서,2021-01-02,61,-5.9,-9.9,749,-1,1345,0,9.2,1350,1.9,340.3
서울송파경찰서,2021-01-02,296,-3.6,-5.9,746,-0.4,1415,0,7.8,1429,2.3,306.6
서울수서경찰서,2021-01-02,141,-3.8,-6.6,752,-0.3,1425,0,6.9,1544,1.7,334.7
서울영등포경찰서,2021-01-02,246,-4.1,-6.6,737.5,-1,1492,0,6.1,1904.5,2.1,284.1
서울은평경찰서,2021-01-02,117,-3.8,-6.4,744,-0.5,1344,0,10.4,2314,2.5,348.8
서울은평경찰서,2021-01-02,117,-8,-13.1,740,-1.7,1544,0,5.8,1413,0.7,298.1
서울은평경찰서,2021-01-02,117,-5.2,-10,769,-0.5,1437,0,7.6,1340.5,1.4,196.9
서울종암경찰서,2021-01-02,91,-5.9,-9.9,749,-1,1345,0,9.2,1350,1.9,340.3
서울중랑경찰서,2021-01-02,297,-3.8,-6.7,806,-1,1355,0,8,1436,2.5,345.8
서울중부경찰서,2021-01-02,69,-6.3,-8.6,829,-3.2,1624,0,10.2,2336,2.9,314.5
서울강남경찰서,2021-01-03,201,-4.4,-8.8,750,-0.7,1304,0,6.2,1210,1.4,250.3
