구,년월일,신고수,평균기온,최저기온,최고기온,일강수량,최대순간풍속,평균풍속,경찰 인력,CCTV개수,총생활인구수평균,범죄소계,숙박업소_합계,유흥업소_합계,주택수_소계
강남구,2021-01-01,342,-3.6,-9.0,2.2,0.0,6.4,1.1,1.0,1.0,1.0,1.0,0.533981,0.793269,0.765461
강남구,2021-01-02,331,-3.8,-6.6,-0.3,0.0,6.9,1.7,1.0,1.0,1.0,1.0,0.533981,0.793269,0.765461
강남구,2021-01-03,356,-4.4,-8.8,-0.7,0.0,6.2,1.4,1.0,1.0,1.0,1.0,0.533981,0.793269,0.765461
강남구,2021-01-04,411,-2.8,-8.1,0.9,0.0,4.0,0.8,1.0,1.0,1.0,1.0,0.533981,0.793269,0.765461
강남구,2021-01-05,393,-4.2,-7.9,-1.4,0.0,7.7,1.9,1.0,1.0,1.0,1.0,0.533981,0.793269,0.765461
강남구,2021-01-06,1094,-6.3,-10.7,-1.7,6.0,7.4,1.3,1.0,1.0,1.0,1.0,0.533981,0.793269,0.765461
강남구,2021-01-07,619,-13.4,-15.7,-7.4,0.0,9.7,2.8,1.0,1.0,1.0,1.0,0.533981,0.793269,0.765461
강남구,2021-01-08,493,-13.7,-17.0,-9.5,0.0,7.7,2.2,1.0,1.0,1.0,1.0,0.533981,0.793269,0.765461
강남구,2021-01-09,437,-11.3,-15.8,-6.6,0.0,8.2,1.5,1.0,1.0,1.0,1.0,0.533981,0.793269,0.765461
강남구,2021-01-10,337,-8.0,-14.5,-2.4,0.0,4.6,0.8,1.0,1.0,1.0,1.0,0.533981,0.793269,0.765461
강남구,2021-01-11,456,-6.7,-11.1,-3.3,0.0,2.9,0.5,1.0,1.0,1.0,1.0,0.533981,0.793269,0.765461
강남구,2021-01-12,570,-4.0,-9.9,0.2,2.0,5.1,0.8,1.0,1.0,1.0,1.0,0.533981,0.793269,0.765461
강남구,2021-01-13,491,2.5,-3.6,9.0,0.0,6.6,1.2,1.0,1.0,1.0,1.0,0.533981,0.793269,0.765461
강남구,2021-01-14,554,1.0,-4.2,8.1,0.0,3.9,0.6,1.0,1.0,1.0,1.0,0.533981,0.793269,0.765461
강남구,2021-01-15,554,4.9,-1.1,11.2,0.0,7.4,1.4,1.0,1.0,1.0,1.0,0.533981,0.793269,0.765461
강남구,2021-01-16,472,-3.7,-7.6,0.7,0.0,7.3,2.1,1.0,1.0,1.0,1.0,0.533981,0.793269,0.765461
강남구,2021-01-17,309,-4.5,-8.7,-0.8,0.0,5.9,1.4,1.0,1.0,1.0,1.0,0.533981,0.793269,0.765461
강남구,2021-01-18,453,-2.7,-8.1,1.1,0.5,10.2,1.8,1.0,1.0,1.0,1.0,0.533981,0.793269,0.765461
강남구,2021-01-19,583,-5.9,-10.5,-0.3,0.0,5.2,0.9,1.0,1.0,1.0,1.0,0.533981,0.793269,0.765461
강남구,2021-01-20,501,-0.9,-7.6,7.8,0.0,4.1,0.7,1.0,1.0,1.0,1.0,0.533981,0.793269,0.765461
강남구,2021-01-21,575,4.2,1.8,7.6,12.0,3.5,0.7,1.0,1.0,1.0,1.0,0.533981,0.793269,0.765461
강남구,2021-01-22,582,5.6,3.9,7.1,0.5,2.8,0.6,1.0,1.0,1.0,1.0,0.533981,0.793269,0.765461
강남구,2021-01-23,560,7.7,2.8,13.0,0.0,5.1,1.1,1.0,1.0,1.0,1.0,0.533981,0.793269,0.765461
강남구,2021-01-24,431,5.8,0.1,13.9,0.0,3.6,0.5,1.0,1.0,1.0,1.0,0.533981,0.793269,0.765461
