"(단위 : 대, '24.6.30.일 기준)",,,,,,,,,,
구 분,CCTV 총계,범죄예방 및 수사,,,,,"시설안전
·
화재예방",교통단속,"교통정보수집
·
분석","기타
다른법령"
,,소 계,방범,"어린이
보호구역",공원·놀이터,"쓰레기
무단투기",,,,
자치구 ,"102,380","89,459","70,539","8,512","9,582",826,"3,921","8,354",18,628
종로구,"2,290","2,154","1,779",105,270,0,3,133,0,0
중구,"3,021","2,460","2,032",76,290,62,62,332,0,167
용산구,"3,300","2,938","2,484",233,221,0,5,357,0,0
성동구,"4,514","3,971","2,932",421,384,234,115,428,0,0
광진구,"4,156","3,722","2,568",554,535,65,159,275,0,0
동대문,"3,446","3,210","2,552",285,341,32,1,189,0,46
중랑구,"4,512","4,163","3,821",141,190,11,59,290,0,0
성북구,"4,543","4,181","3,457 ",451 ,273 ,0,87,257,18 ,0
강북구,"3,584","3,430","2,881",355,194,0,49,105,0,0
도봉구,"2,378","2,196","1,670",192,334,0,71,111,0,0
노원구,"3,111","2,716","1,625",302,683,106,237,158,0,0
은평구,"5,027","4,369","3,697",97,575,0,293,357,0,8
서대문,"3,799","3,117","2,348",132,637,0,279,403,0,0
마포구,"3,361","3,217","2,710",227,240,40,0,144,0,0
양천구,"4,447","4,064","2,698",829,537,0,0,193,0,190
강서구,"3,627","3,471","2,789",300,361,21,0,156,0,0
구로구,"5,449","4,675","3,365",580,689,41,310,464,0,0
금천구,"3,170","2,979",2414,266,253,46,0,191,0,0
영등포,"4,697","4,104","3,622",283,199,0,5,588,0,0
동작구,"3,315","2,927","2,228",403,275,21,134,69,0,185
관악구,"5,842","4,269","3,563",253,306,147,860,713,0,0
서초구,"5,395","3,343","2,810",203,330,0,837,1215,0,0
강남구,"7,721","6,829","5,236",1117,476,0,152,708,0,32
송파구,"4,126","3,519","2,295",453,771,0,203,404,0,0
강동구,"3,549","3,435","2,963",254,218,0,0,114,0,0
